Train time: 12+ hours

hidden_encode = [4, 8, 16, 32, 64, 64]
        pools_encode = [2, 2, 2, 2, 2, 2]
        pools_decode = [1,1,1,1,1,1]
        hidden_dense = [64, 64]
        n_latent = 64

Creating autoencoder network...
 - C:\Users\Nick\Desktop\Ava\Programs\GameAI\Emulator\data\pacman\network\AUTO_pacman_512_512_3_6_2_64
 - input shape: (?, 512, 512, 3)
 - encode: (?, 256, 256, 4)
 - encode: (?, 128, 128, 8)
 - encode: (?, 64, 64, 16)
 - encode: (?, 32, 32, 32)
 - encode: (?, 16, 16, 64)
 - encode: (?, 8, 8, 64)
 - flat: (?, 4096)
 - latent: (?, 64)
 - dense: (?, 64)
 - dense: (?, 64)
 - dense: (?, 64)
 - reshaped: (?, 8, 8, 1)
 - decode: (?, 8, 8, 64)
 - decode: (?, 8, 8, 64)
 - decode: (?, 8, 8, 32)
 - decode: (?, 8, 8, 16)
 - decode: (?, 8, 8, 8)
 - decode: (?, 8, 8, 4)
 - dense: (?, 786432)
 - output: (?, 786432)
Created AUTO_pacman_512_512_3_6_2_64 network in 15.829691886901855

Training on data with iters
Iter 7200  Loss 3437.88721  IO 3360.20410  KL 68.41447
Iter 7300  Loss 3482.46533  IO 3415.79834  KL 67.10868
Iter 7400  Loss 3402.84839  IO 3361.22046  KL 71.35548
Iter 7500  Loss 3500.82373  IO 3436.84570  KL 71.89775
Iter 7600  Loss 3136.61304  IO 3049.20020  KL 69.68291
Iter 7700  Loss 3268.72192  IO 3198.17871  KL 70.12169
Iter 7800  Loss 3404.46484  IO 3372.37500  KL 74.12486
Iter 7900  Loss 3379.58545  IO 3322.64600  KL 68.97034
Iter 8000  Loss 3283.25757  IO 3209.85889  KL 72.00246
Iter 8100  Loss 3181.43555  IO 3095.23901  KL 66.91688
Iter 8200  Loss 3310.14258  IO 3239.05322  KL 71.80574
Iter 8300  Loss 3220.85767  IO 3143.59766  KL 72.21136
Iter 8400  Loss 3225.84180  IO 3156.19238  KL 74.17111
Iter 8500  Loss 3027.60938  IO 2957.01758  KL 69.66763
Iter 8600  Loss 3206.70459  IO 3128.26733  KL 71.72487
Iter 8700  Loss 3298.39062  IO 3217.85254  KL 75.56566
Iter 8800  Loss 3160.12646  IO 3082.30957  KL 69.74885
Iter 8900  Loss 3150.23511  IO 3082.31055  KL 70.92673
Iter 9000  Loss 3149.37012  IO 3075.08691  KL 69.84708
Iter 9100  Loss 3145.33032  IO 3081.78613  KL 73.86382
